Cyrillic            : Алан                 [Cyrillic]
Greek               : Αλαν                 [Greek]
Katakana            : アラン                  [Katakana]
Latin               : Alan                 [Latin]
china_s             : 艾伦                   [china_s]
china_t             : 艾倫                   [china_t]
cyrillic            : алан                 [cyrillic]
greek               : αλαν                 [greek]
katakana            : ァㇻン                  [katakana]
latin               : alan                 [latin]
CYRILLIC            : АЛАН                 [CYRILLIC]
GREEK               : ΑΛΑΝ                 [GREEK]
KATAKANA            : アラン                  [KATAKANA]
LATIN               : ALAN                 [LATIN]
